"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_4_201","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_203","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_205","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_207","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_209","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_21","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_211","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_213","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_215","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_23","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_241","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_243","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_245","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_247","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_249","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_251","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_253","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_255","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_257","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_259","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_261","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
"22028_4_263","CD45- GFP+ CD31-","1242","cancer associated fibroblast","skin","tumor","11 day"
