Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
RAP1A	3948	2944	2341	4722	2576	3412	3530	3803	2968	2063
RAP1B	10430	8224	5945	12541	7839	3574	3616	3900	3079	2426
RAP1GAP	1797	2098	1356	2250	1621	17225	18946	17875	15428	9386
RAP1GAP2	2408	2449	1618	3023	1935	13787	14817	13934	12140	7204
RAP1GDS1	3631	3020	2115	4620	2520	9318	9460	9965	8093	5750
RAP2A	3891	3094	2333	4556	2922	11223	11175	11693	9587	6889
RAP2B	3784	3232	2276	4419	3267	954	923	1032	823	652
RAP2C	3195	2598	1862	3801	2506	1519	1602	1628	1383	904
RAPGEF1	5007	5340	3470	5773	5014	7854	8223	8059	6938	4727
RAPGEF2	2029	1752	1135	2302	1541	10874	11438	11580	9431	6373
RAPGEF3	127	206	121	180	157	2895	2963	2994	2502	1623
RAPGEF4	423	322	230	465	252	19916	20632	21164	16889	11331
RAPGEF5	1227	998	609	1362	911	18248	18803	19180	15540	11036
RAPGEF6	2454	2087	1404	2936	2024	4134	4083	4510	3394	2356
RAPGEFL1	1048	1093	681	1271	742	6328	6812	6598	5786	3400
RAPH1	2668	2206	1510	3045	1971	3280	3183	3343	2822	1783
RAPSN	6	9	9	14	21	3	9	13	7	3
RARA	1868	2055	1442	2371	2355	1487	1480	1403	1154	920
RARB	373	367	213	487	300	715	734	800	603	427
RARG	2010	2131	1338	2439	1693	749	839	749	686	422
RARRES1	83	87	55	143	80	74	86	71	57	44
RARRES2	833	1121	663	1284	1174	499	592	545	496	397
RARRES3	631	579	379	756	398	730	748	835	635	356
RARS	7601	6084	4473	9361	5178	1737	1858	1886	1587	1069
RARS2	2944	2451	1654	3617	1836	953	955	1046	854	570
RASA1	4314	3485	2418	4847	3141	5279	5163	5645	4542	3147
RASA2	730	581	403	800	545	651	603	707	483	341
RASA3	4102	4117	2682	5131	3532	3914	4021	3992	3322	2224
RASA4	2234	2487	1664	2972	2297	4528	4853	4713	4091	2854
RASA4P	79	107	69	142	99	280	322	255	224	190
RASAL1	294	327	198	355	266	1743	1955	1815	1503	1038
RASAL2	1386	1153	829	1555	1153	3470	3535	3555	2818	2107
RASAL3	230	247	173	297	289	102	120	128	97	84
RASD1	216	273	189	323	342	4408	5057	4598	3895	4343
RASD2	454	520	311	563	424	3938	4280	3883	3363	2201
RASEF	125	99	60	129	101	15	21	22	11	9
RASGEF1A	169	195	132	233	160	2868	3049	3120	2459	1627
RASGEF1B	117	85	81	125	83	734	784	798	649	408
RASGEF1C	20	34	19	40	27	1346	1492	1419	1163	984
RASGRF1	143	165	92	189	130	16837	18657	17229	14313	9335
RASGRF2	859	772	497	1046	672	5717	6098	6390	5112	3383
RASGRP1	786	697	488	947	616	5308	5461	5636	4454	3230
RASGRP2	135	161	94	184	142	1248	1340	1278	1134	756
RASGRP3	92	90	60	107	72	1784	1851	1844	1579	1076
RASGRP4	36	42	36	66	25	79	84	53	67	37
RASIP1	1748	1800	1174	2314	1889	530	501	514	403	475
RASL10A	14	21	8	25	24	360	419	421	315	489
RASL10B	1226	1392	887	1721	1250	2348	2477	2393	2104	1340
RASL11A	559	468	325	648	389	453	484	490	390	282
RASL11B	246	222	126	302	192	1358	1496	1569	1255	970
RASL12	231	223	162	309	182	1304	1430	1339	1161	710
RASSF1	1893	2084	1291	2511	1685	1237	1243	1216	1009	766
RASSF10	15	18	8	29	24	8	12	6	5	7
RASSF2	1150	1021	668	1279	778	16017	17193	16643	14228	8603
