Gene	A_1	A_2	A_3	A_4	A_5	B_1	B_2	B_3	B_4	B_5
KCNAB3	69	60	42	82	47	1212	1232	1197	990	709
KCNB1	37	30	18	47	35	2436	2618	2505	2048	1127
KCNB2	7	3	1	7	1	334	362	381	304	158
KCNC1	43	46	36	46	29	14020	15046	15377	12365	8079
KCNC2	5	3	2	6	0	4183	4113	4350	3482	2571
KCNC3	112	149	95	123	110	1652	1603	1535	1387	1055
KCNC4	532	503	325	570	439	3078	3331	3181	2716	2048
KCND1	361	454	278	482	374	1018	1153	1123	990	613
KCND2	38	20	20	37	32	8191	8638	8656	7080	5317
KCND3	10	4	8	8	6	2246	2478	2328	1874	1249
KCNE1	16	16	8	16	13	23	20	23	6	7
KCNE1L	22	24	7	32	26	161	180	184	125	99
KCNE2	34	17	11	21	19	41	35	38	29	13
KCNE3	73	64	46	98	48	151	161	173	147	76
KCNE4	1572	1380	882	1900	1090	601	652	688	543	354
KCNF1	74	101	61	114	130	2136	2264	2151	1828	1556
KCNG1	195	294	207	311	531	287	302	287	230	296
KCNG2	0	0	1	1	2	5	7	2	5	18
KCNG3	368	312	194	408	277	94	87	96	64	58
KCNG4	13	18	8	22	17	41	31	47	32	24
KCNH1	35	41	16	30	25	3653	3978	3974	3050	2076
KCNH2	2217	2735	1866	2946	2831	3279	3501	3215	2968	2474
KCNH3	46	91	50	61	135	4181	4023	4345	3746	3890
KCNH4	45	51	45	50	44	239	241	262	174	133
KCNH5	150	136	98	146	99	313	288	255	191	126
KCNH6	13	8	15	20	15	81	76	80	68	45
KCNH7	1	0	1	0	0	319	335	382	270	173
KCNH8	28	25	13	25	17	1958	2065	2131	1672	1115
KCNIP1	29	18	14	25	22	1429	1401	1427	1203	807
KCNIP2	356	340	242	457	207	5993	6312	6261	5338	3021
KCNIP3	897	1079	731	1193	1003	2151	2293	2391	1993	1358
KCNIP4	75	63	49	100	49	4994	5026	5518	4262	3139
KCNIP4-IT1	3	2	4	0	0	71	85	90	68	22
KCNJ1	7	6	7	4	1	21	17	29	19	19
KCNJ10	314	304	179	370	261	13234	14206	13863	11708	7772
KCNJ11	137	166	119	183	164	1967	2127	2014	1753	1212
KCNJ12	133	152	117	179	139	3760	4105	3572	3423	2114
KCNJ13	88	77	49	99	52	69	82	82	62	31
KCNJ14	221	193	103	270	185	161	179	166	127	81
KCNJ15	26	29	29	43	19	4	6	15	5	5
KCNJ16	5	6	1	5	1	1723	1841	1956	1561	1129
KCNJ18	0	0	0	0	0	2	0	0	1	1
KCNJ2	26	34	22	37	29	790	829	860	687	467
KCNJ3	109	96	72	118	122	4760	4845	5200	4026	2855
KCNJ4	34	40	19	36	47	2620	2698	2570	2366	2282
KCNJ5	3	4	4	8	3	51	49	38	51	20
KCNJ6	7	2	2	8	6	219	237	224	187	74
KCNJ8	269	253	134	326	207	462	528	511	401	315
KCNJ9	2	7	5	6	1	8378	8893	8624	7507	4896
KCNK1	655	594	456	897	591	7262	7568	7782	6399	4594
KCNK10	8	1	4	2	1	1537	1729	1593	1365	861
KCNK12	12	25	14	16	63	271	355	281	242	549
KCNK13	11	4	5	16	8	89	96	89	94	56
KCNK15	286	300	192	394	572	12	7	13	14	11
KCNK16	0	0	0	0	0	0	1	0	0	3
KCNK17	4	6	2	8	8	6	14	4	10	6
KCNK18	0	0	0	0	0	1	3	2	2	1
KCNK2	313	253	211	349	195	529	533	517	437	343
KCNK3	137	153	78	141	124	1852	1976	1948	1660	1178
KCNK4	5	5	7	11	2	327	313	310	278	243
KCNK5	1163	1352	841	1610	1054	6	14	12	20	12
KCNK6	937	827	532	1142	823	71	74	76	51	43
KCNK7	6	11	8	18	13	52	44	50	44	57
KCNK9	0	1	0	2	0	738	785	711	625	425
KCNMA1	1905	1728	1074	2294	1480	11186	11744	11970	9441	6517
KCNMB1	9	14	6	18	9	161	154	146	113	64
KCNMB2	69	62	51	107	56	266	296	292	222	186
KCNMB3	321	269	217	336	178	173	170	160	114	83
KCNMB4	440	454	280	631	353	7649	8293	8205	6808	4581
KCNN1	70	97	61	104	91	2508	2642	2598	2160	1822
KCNN2	79	63	45	83	62	552	600	609	526	432
KCNN3	713	640	418	815	565	2779	2996	3208	2481	1527
KCNN4	765	858	581	1020	821	76	77	81	57	57
KCNQ1	123	145	85	159	120	100	83	78	73	58
KCNQ1DN	1	0	2	0	1	27	17	8	22	11
KCNQ1OT1	1577	1381	947	1629	1046	989	1054	1108	879	533
KCNQ2	334	469	279	491	437	3836	3844	3573	3200	3062
KCNQ3	207	189	134	224	151	8080	8329	8344	6634	4881
KCNQ4	149	154	103	180	202	565	627	571	516	416
KCNQ5	807	656	434	881	554	6234	6503	6633	5227	3405
KCNRG	36	32	15	22	20	23	24	26	12	11
KCNS1	115	104	57	143	73	4388	4797	4631	3758	2596
KCNS2	6	5	3	5	0	606	631	607	496	333
KCNS3	394	364	237	503	294	504	486	513	434	276
KCNT1	17	30	14	31	20	6283	6798	6438	5295	3892
KCNT2	83	63	50	89	62	770	785	829	622	455
KCNU1	11	14	8	11	7	0	2	0	0	0
KCNV1	1	1	1	0	0	1474	1537	1625	1292	971
KCNV2	4	7	5	11	18	9	13	9	14	10
KCP	11	26	11	19	35	106	98	93	74	99
KCTD1	695	658	435	838	570	3361	3470	3487	3123	2101
KCTD10	3748	3284	2258	4488	2892	3120	3357	3384	2747	1892
KCTD11	1142	1097	735	1414	836	546	651	581	502	326
KCTD12	2201	1740	1220	2527	1702	9629	9568	10039	8045	6275
KCTD13	1130	1337	751	1531	979	3089	3237	2874	2686	1616
KCTD14	4	17	4	22	24	13	5	6	11	8
KCTD15	2388	2605	1696	3076	2401	1845	1972	2072	1558	1158
KCTD16	9	6	9	23	12	869	875	893	688	509
KCTD17	609	694	475	808	540	3671	3940	3837	3396	1865
KCTD18	902	740	500	1033	708	739	718	684	650	473
KCTD19	91	90	65	97	54	7	9	8	6	2
KCTD2	3833	3550	2274	4509	2257	19267	20838	20346	17060	9235
KCTD20	8591	7384	5158	9752	6643	3833	3823	4011	3236	2243
KCTD21	653	627	447	828	478	1703	1804	1651	1462	813
KCTD3	6556	5434	3736	7550	4778	5184	5057	5484	4480	3192
KCTD4	2	9	3	0	2	519	552	535	448	303
KCTD5	2353	2607	1670	2918	2515	1184	1185	1250	1105	738
KCTD6	780	642	444	904	502	1514	1588	1642	1360	914
KCTD7	2200	1954	1401	2590	1516	3733	4114	3972	3278	2224
KCTD8	18	12	6	11	10	1426	1479	1544	1337	1134
KCTD9	3925	3189	2216	4559	2919	1561	1486	1678	1383	961
KDELC1	1991	1635	1160	2298	1496	204	207	225	185	116
KDELC2	6663	5357	3652	7490	4834	754	778	911	685	494
KDELR1	12737	12157	8289	15726	9695	3270	3710	3509	2933	1931
KDELR2	20771	17657	11864	25133	13978	4032	4137	4211	3538	2347
KDELR3	2605	2269	1474	3129	1707	73	90	98	69	56
KDM1A	14281	12204	8179	17299	9578	4107	4339	4419	3725	2386
KDM1B	2103	1712	1224	2405	1479	1361	1407	1456	1153	788
KDM2A	8825	8693	5685	10807	6853	9084	9533	9383	7771	4975
KDM2B	4915	4901	3295	6027	4260	3259	3279	3313	2712	1899
KDM3A	9170	7489	5105	10091	6907	3515	3583	3784	3006	2121
KDM3B	8644	7959	5166	9882	6506	6589	7033	6947	5725	3656
KDM4A	4284	4065	2576	4971	2929	3436	3533	3599	3016	1784
KDM4B	2586	3039	1916	3182	4046	2686	2725	2613	2315	2390
KDM4C	1894	1771	1164	2286	1410	3361	3388	3343	2844	1887
KDM4D	207	246	157	270	162	133	123	140	130	69
KDM4DL	0	0	0	0	0	1	0	3	2	1
KDM5A	4725	4001	2611	5348	3824	2713	2655	2693	2149	1485
KDM5B	9749	8413	5511	11366	7111	3049	3303	3380	2658	1866
KDM5C	10443	10942	7060	12410	8348	9556	10157	9475	7989	4942
KDM5D	1550	1480	982	1819	1087	4130	4357	4188	3555	2079
KDM6A	1921	1616	1169	2283	1449	1893	1977	1912	1557	1073
KDM6B	2179	2550	1656	2592	2864	2870	2880	2862	2356	1996
KDR	147	127	81	154	101	727	757	801	635	410
KDSR	4348	3570	2494	5282	3229	5002	5003	5340	4431	3065
KEAP1	3950	4040	2629	5091	3413	4445	4959	4748	4085	2589
KEL	729	741	476	963	481	176	219	176	161	87
KERA	0	0	0	0	0	0	1	0	3	0
KGFLP1	96	69	52	86	83	644	678	728	557	438
KGFLP2	150	106	88	165	108	1805	1757	1997	1531	1162
KHDC1	122	91	55	131	56	485	587	539	422	227
KHDC1L	3	5	0	7	2	26	27	26	28	9
KHDRBS1	16735	14272	10356	20861	12546	8383	8882	9319	7567	5550
KHDRBS2	5	5	4	16	7	372	399	411	323	245
KHDRBS3	870	740	496	1190	611	3831	4068	4280	3455	2316
KHK	881	1056	703	1289	770	1271	1338	1315	1106	736
KHNYN	6408	6008	4105	7654	4725	3338	3684	3544	2966	1808
KHSRP	11541	10983	7600	13384	11906	6434	6788	6737	5569	4635
KIAA0020	3748	3282	2323	4622	2644	430	394	477	356	223
KIAA0040	1216	1055	715	1522	827	810	777	681	620	415
KIAA0087	0	4	1	4	1	278	250	269	177	151
KIAA0090	8422	8078	5033	10242	5386	4831	4871	4847	4065	2248
KIAA0100	15460	14182	9144	17914	10599	12038	13094	12264	10177	6283
KIAA0101	6680	5107	3730	8352	4318	28	21	26	20	12
KIAA0125	5	2	0	1	1	0	0	2	0	2
KIAA0141	3893	3951	2481	4797	2853	4316	4776	4646	3772	2245
KIAA0146	3587	3431	2175	4411	2418	3847	4086	4119	3420	2006
KIAA0182	10453	9519	6413	12228	9604	4833	4880	4990	4065	3110
KIAA0195	4968	6188	3691	6524	5011	9200	10248	9711	8100	5046
KIAA0196	4317	3519	2501	5105	3347	2744	2880	3021	2381	1655
KIAA0226	2518	2301	1580	3102	1861	5854	6049	5801	5059	3282
KIAA0226L	216	207	115	252	128	328	303	372	271	193
KIAA0232	3281	2722	1925	3642	2460	9724	10064	10362	8327	5949
KIAA0240	1546	1334	922	1756	1185	4016	4076	4090	3349	2272
KIAA0247	1704	1642	1059	2130	1203	6691	7380	6868	5798	3570
KIAA0284	1430	1838	1137	1863	2867	7153	6859	6962	6350	6848
KIAA0317	3870	3330	2321	4558	2808	3858	4161	4176	3358	2127
KIAA0319	107	127	104	173	88	3518	3644	3720	3000	1959
KIAA0319L	5959	5709	3757	7334	4471	6857	7423	7239	5950	3916
KIAA0355	2009	1994	1353	2474	1655	3148	3299	3274	2797	1766
KIAA0368	12104	10215	6992	13752	8652	10385	10712	10982	9168	6095
KIAA0391	3179	2779	1792	3853	2078	1515	1453	1595	1234	813
KIAA0408	1	0	0	0	0	4	1	0	4	3
KIAA0415	714	999	683	1063	1878	1014	996	1007	897	1019
KIAA0430	4664	3777	2647	5107	3379	14128	14544	15224	12351	8309
KIAA0494	6422	5591	3676	7491	4949	9918	9889	10373	8292	5728
KIAA0513	1088	1174	767	1391	971	37301	39599	38884	33207	22033
KIAA0528	4041	3488	2434	4866	3063	5339	5491	6083	4662	3482
KIAA0556	1862	1934	1200	2076	1414	1897	1983	1978	1657	935
KIAA0564	2153	1819	1347	2386	1718	2253	2320	2488	1987	1413
KIAA0586	2002	1567	1170	2283	1448	1327	1235	1386	1128	763
KIAA0664	4324	5618	3673	5779	7023	4829	4900	4609	4100	3673
KIAA0664L3	318	342	181	370	239	489	508	457	414	208
KIAA0748	360	344	209	357	217	5211	5616	5600	4546	2665
KIAA0753	2016	1578	1096	2275	1260	1188	1257	1325	1079	692
KIAA0754	547	521	382	565	484	296	329	354	252	197
KIAA0825	242	237	165	337	236	339	323	388	292	194
KIAA0889	2138	2314	1424	2393	1763	10608	11417	10575	8673	5559
KIAA0895	841	694	507	1028	643	2268	2136	2479	1967	1413
KIAA0895L	2462	2548	1666	3205	2048	5954	6410	6310	5204	3353
KIAA0907	7252	6118	4205	8377	5013	3761	3802	4046	3200	2221
KIAA0913	3785	4351	2653	4764	3343	6652	7297	6585	5716	3538
KIAA0922	2269	1933	1288	2590	1609	284	307	330	258	168
KIAA0930	4264	4941	2996	5524	3971	13840	15212	14488	12408	7950
KIAA0947	6128	5287	3490	7077	4761	4797	4885	5082	3917	2744
KIAA1009	722	623	424	914	600	479	506	549	441	289
KIAA1024	307	224	197	361	222	1513	1561	1538	1303	924
KIAA1033	4081	3132	2388	4632	3146	3369	3350	3551	2835	2211
KIAA1045	99	83	73	94	65	10891	12044	11467	9518	6273
KIAA1107	277	228	151	303	197	7780	7908	8590	6457	4855
KIAA1109	4053	3396	2284	4634	3479	16304	16780	17296	13648	10136
KIAA1143	4897	3864	2907	5692	3403	4053	4193	4435	3543	2361
KIAA1147	3274	2896	1935	3779	2566	7962	8413	8537	6948	4826
KIAA1161	912	910	570	1111	903	1763	1851	1790	1438	1192
KIAA1191	7640	7152	4681	9632	5451	10473	10898	11138	9209	5736
KIAA1199	2439	2382	1508	2806	1900	1975	2123	1987	1644	1016
KIAA1210	9	4	7	13	2	1	5	10	5	1
KIAA1211	805	710	528	973	650	1583	1558	1591	1429	982
KIAA1217	1984	1836	1170	2413	1532	2625	2830	2628	2299	1532
KIAA1239	3	3	1	2	2	1040	1020	1071	841	581
KIAA1244	1888	1588	1136	2011	1474	17102	17918	17867	14695	10334
KIAA1257	33	44	22	37	29	69	66	44	50	31
KIAA1267	4659	4377	2749	5328	3570	5214	5581	5533	4468	2949
KIAA1274	548	616	375	714	611	1482	1403	1485	1267	925
KIAA1279	1933	1547	1153	2437	1451	5165	5391	5643	4520	3300
KIAA1310	6058	5594	3723	7525	4574	4516	4768	4728	3802	2447
KIAA1324	941	863	622	1170	631	2054	2158	2161	1765	970
KIAA1324L	1055	845	660	1282	784	3802	3731	3910	3134	2244
KIAA1328	414	338	227	529	279	753	697	779	661	360
KIAA1370	1835	1356	918	1984	1266	2713	2827	2975	2358	1679
KIAA1377	347	258	166	386	229	2482	2447	2815	2146	1603
KIAA1383	131	78	70	132	84	295	274	287	233	198
KIAA1407	364	326	202	430	258	399	412	456	364	222
KIAA1429	6220	5221	3633	7572	4676	3074	3099	3361	2699	1822
KIAA1430	4845	3798	2676	5351	3599	2445	2406	2636	2036	1529
KIAA1432	2691	2335	1548	3014	2154	2059	2048	2189	1624	1242
KIAA1456	174	135	149	251	111	12385	12595	13601	11177	7023
KIAA1462	1287	1313	893	1651	1070	4085	4261	4256	3523	2363
KIAA1467	1562	1371	898	1962	1143	7876	8355	8220	7138	4616
KIAA1468	1884	1471	1091	2077	1354	3833	3992	4126	3305	2425
KIAA1486	10	7	6	4	8	261	297	276	206	150
KIAA1522	5420	5573	3860	6833	4733	2384	2716	2479	2113	1452
KIAA1524	2678	2035	1447	3089	2041	266	278	267	211	184
KIAA1530	1411	1317	859	1655	907	813	816	884	691	375
KIAA1539	975	957	645	1238	807	2240	2453	2397	2017	1271
KIAA1549	1718	1734	1079	2007	1549	1733	1759	1795	1427	954
KIAA1586	1316	1005	771	1611	1056	1061	1063	1170	879	568
KIAA1598	4439	3697	2619	5060	3189	14766	15131	15642	12835	9067
KIAA1609	1922	1883	1136	2252	1308	600	729	731	560	311
KIAA1614	97	129	90	142	128	702	763	722	628	508
KIAA1644	2817	2663	1762	3361	2095	5596	6279	5991	4815	2983
KIAA1671	2178	1884	1306	2472	1635	3810	4019	4003	3362	2015
KIAA1683	65	75	69	98	119	111	121	118	93	81
KIAA1704	825	650	490	917	646	784	693	804	651	442
KIAA1715	4753	3849	2768	5430	3699	3246	3258	3354	2775	2009
KIAA1731	2077	1703	1169	2315	1545	1614	1648	1775	1360	995
KIAA1737	2259	2061	1237	2718	1586	9392	9970	9967	8341	5430
KIAA1751	38	19	19	31	23	319	299	362	264	168
KIAA1755	50	60	52	86	59	1766	1935	1926	1568	1075
KIAA1797	2664	2399	1665	3245	1930	4774	5237	5059	4110	2810
KIAA1804	1062	940	608	1157	849	888	948	909	735	566
KIAA1826	1732	1377	1085	2034	1283	2458	2609	2781	2153	1592
KIAA1841	1331	989	732	1666	875	1611	1488	1698	1388	982
KIAA1875	69	77	45	110	97	421	426	417	336	305
KIAA1908	477	501	347	621	475	882	997	937	794	567
KIAA1919	822	654	483	914	337	304	319	308	265	87
KIAA1958	587	607	319	648	444	473	507	461	413	226
KIAA1967	10566	10603	6799	13367	8385	8760	9234	9129	7768	4853
KIAA1984	297	245	181	301	213	286	251	282	218	151
KIAA2013	4811	5338	3329	6230	5346	2134	2294	2229	1872	1517
KIAA2018	1671	1281	879	1717	1249	2758	2808	2911	2313	1499
KIAA2022	270	218	145	257	179	1781	1958	1939	1545	1211
KIAA2026	1691	1351	939	1807	1298	3771	3846	4096	3198	2422
KIDINS220	5471	4601	3048	6368	4046	16341	16774	17432	13996	9397
KIF11	7370	5891	4292	8690	5597	159	154	156	134	72
KIF12	66	94	67	105	90	134	133	89	96	58
KIF13A	4054	3651	2300	4777	2840	3983	4230	4275	3476	2241
KIF13B	1900	1806	1196	2326	1922	4128	4267	4187	3608	2751
KIF14	4037	3198	2293	4623	3269	10	17	10	11	8
KIF15	3585	2855	2041	3990	2627	92	94	98	92	59
KIF16B	1176	1031	707	1363	940	983	1048	1096	844	592
KIF17	102	130	86	135	101	1096	1260	1064	923	597
KIF18A	1921	1461	1086	2165	1352	16	17	25	17	11
KIF18B	1447	2008	1238	1868	1671	8	11	14	8	6
KIF19	2	2	0	2	3	1260	1257	1264	1069	855
KIF1A	949	1078	697	1127	1003	98520	106943	101952	87667	59097
KIF1B	6046	5150	3580	6956	4470	50005	52239	51950	43243	28377
KIF1C	9944	10953	6950	12902	8370	17375	18382	17718	15401	9625
KIF20A	7647	6606	4175	9040	5275	8	5	13	13	9
KIF20B	3698	2926	2086	4291	3309	306	302	335	280	201
KIF21A	2902	2471	1612	3350	2239	12202	12516	13295	10647	8043
KIF21B	2912	3386	1984	3623	2502	5301	5773	5273	4536	2802
KIF22	7914	8658	5535	10198	6413	1086	1191	1160	987	687
KIF23	6878	5550	3736	7916	4764	26	42	42	27	25
KIF24	951	888	571	1034	677	111	126	113	120	69
KIF25	13	12	9	9	13	135	140	145	118	99
KIF26A	289	372	288	407	1109	77	87	63	65	126
KIF26B	56	62	26	50	52	558	556	505	410	356
KIF27	360	249	192	396	281	270	279	294	249	150
KIF2A	5097	3954	2961	6025	3972	4948	5053	5447	4155	3043
KIF2B	0	0	0	0	0	0	0	0	0	0
KIF2C	10060	9104	5941	11845	6357	72	81	90	69	49
KIF3A	2153	1668	1206	2441	1459	14037	14279	15232	12726	7817
KIF3B	5184	4696	3129	6176	3596	9349	9747	9884	8027	5109
KIF3C	1993	2083	1276	2380	1638	26069	28461	27276	23073	15059
KIF4A	6138	5309	3452	7091	4198	51	54	48	44	27
KIF4B	26	10	14	19	5	1	6	3	4	4
KIF5A	485	419	297	488	340	77650	82753	78362	65715	40055
KIF5B	14308	11343	7884	16101	11212	16374	16585	17621	14158	10755
KIF5C	865	761	492	1050	687	67726	69380	72484	58603	41879
KIF6	64	79	46	94	52	248	222	252	174	120
KIF7	763	886	575	989	1037	224	244	241	221	192
KIF9	301	242	178	350	183	309	323	307	299	159
KIFAP3	2189	1775	1249	2477	1544	10321	10607	10956	8879	6624
KIFC1	5375	6514	3929	7067	4829	29	17	22	15	9
KIFC2	1374	1748	1139	1884	2478	8173	8487	8356	7404	8273
KIFC3	1981	2693	1811	2891	3395	1573	1617	1631	1456	1334
KIN	998	794	590	1212	668	424	452	485	394	256
KIR2DL1	0	0	0	0	0	0	1	0	3	1
KIR2DL2	0	0	0	0	0	0	0	0	0	0
KIR2DL3	0	0	0	0	0	0	1	0	0	3
KIR2DL4	0	2	3	2	1	0	3	3	0	0
KIR2DL5A	0	0	0	0	0	0	0	0	0	0
KIR2DL5B	0	0	0	0	0	0	0	0	0	0
KIR2DS1	0	0	0	0	0	0	0	0	0	0
KIR2DS2	0	0	0	0	0	0	0	0	0	0
KIR2DS3	0	0	0	0	0	0	0	0	0	0
KIR2DS4	0	1	0	0	0	1	0	1	1	0
KIR2DS5	0	0	0	0	0	0	0	0	0	0
KIR3DL1	0	0	0	0	1	1	1	0	0	1
KIR3DL2	3	0	0	0	0	0	1	2	0	0
KIR3DL3	0	0	0	0	0	0	0	0	0	0
KIR3DS1	0	0	0	0	0	0	0	0	0	0
KIR3DX1	5	9	5	8	2	7	2	0	2	0
KIRREL	1393	1591	957	1555	1455	179	184	157	143	87
KIRREL2	133	110	73	133	99	64	85	63	60	42
KIRREL3	128	139	99	187	106	2790	2971	2715	2416	1423
KIRREL3-AS3	0	0	0	0	1	5	4	3	3	4
KISS1	4	5	7	13	9	1	2	5	4	4
KISS1R	41	48	38	43	207	5	3	13	7	26
KIT	665	552	378	752	509	5055	5521	5420	4438	3042
KITLG	912	714	483	1057	688	2468	2529	2704	2072	1590
KL	4	2	1	3	3	157	150	151	122	105
KLB	965	745	530	1018	708	83	93	87	75	53
KLC1	5110	4859	3075	6028	4225	38739	40772	40885	34504	23905
KLC2	2337	2716	1755	2927	2392	14961	15936	15242	13364	9432
KLC3	83	123	75	91	131	38	40	33	36	24
KLC4	2078	2283	1472	2735	1646	3026	3295	3111	2623	1646
KLF1	639	610	400	818	821	4	2	2	2	1
KLF10	5496	4706	3130	6466	3829	933	1015	981	786	524
KLF11	1955	1517	1156	1981	1376	1000	1046	1074	871	585
KLF12	1831	1598	1057	2034	1625	2977	3120	3193	2555	1929
KLF13	4837	4888	3291	5954	3605	18458	20128	19780	16264	9865
KLF14	28	27	20	33	19	0	0	2	0	0
KLF15	269	270	221	346	331	1437	1441	1465	1306	1074
KLF16	1390	1475	1165	1974	1845	1688	1702	1894	1643	1356
KLF17	97	89	63	116	62	9	6	5	3	2
KLF2	85	107	71	121	183	329	340	302	274	449
KLF3	3758	3040	2230	4400	2753	2962	2987	3209	2658	1770
KLF4	1527	1368	955	1917	1458	388	389	421	356	293
KLF5	2333	1951	1271	2706	1849	236	197	248	193	160
KLF6	5676	4823	3424	6916	4684	3062	3195	3382	2652	1891
KLF7	208	201	139	217	151	783	804	808	667	410
KLF8	122	98	70	123	77	641	729	676	566	308
KLF9	2424	1996	1471	2879	1864	13372	13519	14020	11441	8332
KLHDC1	118	85	65	151	69	749	721	822	629	443
KLHDC10	4642	3895	2741	5386	3505	6489	6814	7166	5517	3795
KLHDC2	3050	2461	1672	3574	2235	4049	4050	4220	3417	2647
KLHDC3	9001	9279	6049	12092	6416	19098	20845	20376	17195	9944
KLHDC4	940	1091	641	1325	950	652	672	642	536	436
KLHDC5	3347	2888	1932	3733	2555	6078	6336	6696	5253	4077
KLHDC7A	161	176	109	212	130	61	52	47	36	26
KLHDC7B	40	55	24	45	61	5	9	2	5	1
KLHDC8A	31	33	22	29	27	1338	1465	1393	1195	795
KLHDC8B	1038	1118	761	1363	920	913	943	906	840	534
KLHDC9	71	88	72	104	92	819	895	856	727	530
KLHL1	6	4	2	6	0	437	457	448	362	248
KLHL10	12	3	3	3	2	14	19	16	17	6
KLHL11	317	243	176	309	206	800	778	795	659	405
KLHL12	4290	3547	2452	5011	2947	3376	3438	3565	2984	1982
KLHL13	1267	1053	752	1517	894	801	819	822	664	477
KLHL14	350	307	258	431	281	74	92	76	61	51
KLHL15	2186	1735	1200	2403	1705	1485	1496	1515	1290	912
KLHL17	630	909	620	911	1277	454	450	440	374	409
KLHL18	1856	1819	1213	2288	1440	2418	2510	2456	2155	1309
KLHL2	1256	1001	653	1467	794	6678	6996	7189	5977	4178
KLHL20	1611	1415	867	1841	1113	1305	1322	1359	1097	734
KLHL21	2829	3306	2060	3753	3023	4547	5125	4863	4132	2904
KLHL22	951	1165	709	1182	984	2629	2857	2657	2254	1545
KLHL23	6	5	11	6	56	1	13	9	4	28
KLHL24	3018	2431	1646	3558	2325	5081	4973	5521	4359	3059
KLHL25	528	559	376	672	570	550	642	619	554	412
KLHL26	375	435	290	504	597	1269	1417	1366	1145	1093
KLHL28	1286	994	663	1368	1021	2280	2275	2394	1939	1382
KLHL29	395	468	295	561	452	1387	1476	1506	1232	915
KLHL3	518	506	326	642	357	6444	7036	6918	5607	3807
KLHL30	22	32	19	42	32	18	18	17	20	16
KLHL31	114	84	57	123	73	35	21	38	21	19
KLHL32	70	51	36	80	46	3473	3775	3803	3194	2038
KLHL33	2	2	3	13	4	32	22	22	17	19
KLHL34	0	0	0	3	3	55	75	69	54	98
KLHL35	158	182	122	251	205	251	265	259	208	172
KLHL36	472	577	342	659	804	460	482	434	390	374
KLHL38	6	9	4	7	9	36	32	27	37	11
KLHL4	288	237	135	313	203	1538	1477	1708	1352	928
KLHL5	3641	3000	2110	4283	2772	4880	5115	5368	4289	3209
KLHL6	1078	950	632	1347	784	94	108	115	93	37
KLHL7	3061	2501	1720	3519	2252	3432	3397	3634	2971	2189
KLHL8	1438	1163	805	1650	1059	1447	1483	1605	1260	868
KLHL9	2739	2246	1575	3162	2153	3784	3905	4106	3141	2453
KLK1	218	233	124	328	127	0	6	4	1	0
KLK10	48	45	17	59	43	183	205	172	171	126
KLK11	629	706	419	836	522	7	4	4	10	6
KLK12	9	14	3	6	4	0	0	0	0	0
KLK13	65	42	31	63	45	0	1	1	1	0
KLK14	14	21	22	24	16	26	32	44	28	19
KLK15	1	4	4	4	2	1	0	0	1	0
KLK2	41	44	35	44	23	0	0	1	4	2
KLK3	0	0	0	0	0	3	1	1	2	0
KLK4	4	2	1	4	1	18	14	10	8	4
KLK5	5	12	5	8	1	60	71	57	43	43
KLK6	225	270	193	322	178	5823	6456	6243	5173	2702
KLK7	16	11	5	9	8	681	774	698	609	360
KLK8	25	31	15	36	14	20	18	28	12	11
KLK9	0	0	0	1	0	3	0	0	2	1
KLKB1	22	11	15	20	7	176	143	159	119	83
KLKP1	0	0	0	0	0	2	1	1	1	2
KLLN	133	124	71	159	111	124	111	145	118	75
KLRAP1	307	264	184	384	261	222	199	230	199	134
KLRB1	1	1	1	1	1	5	10	11	4	2
KLRC1	3	3	1	3	2	18	19	17	16	16
KLRC2	1322	1014	779	1571	850	75	61	61	55	32
KLRC3	462	403	269	548	280	69	88	88	71	48
KLRC4	19	34	23	36	20	8	8	7	9	6
KLRC4-KLRK1	1	1	0	2	3	0	2	4	1	2
KLRD1	0	0	1	2	1	23	32	23	13	13
KLRF1	10	5	9	15	4	2	12	5	6	7
KLRF2	0	0	0	0	2	0	0	0	0	0
KLRG1	95	66	76	153	80	145	129	160	124	104
KLRG2	33	47	40	41	62	0	2	0	0	2
KLRK1	5	2	1	3	1	1	1	1	1	0
KMO	56	46	33	80	46	62	48	55	50	31
KNCN	1	0	0	0	0	86	75	68	59	36
KNDC1	95	119	94	132	171	7707	7980	7750	6886	6954
KNG1	258	233	129	287	192	43	34	35	29	20
KNTC1	8553	6998	4907	9677	6101	440	466	484	375	269
KPNA1	5995	4800	3517	6915	4319	5949	6107	6498	5290	3750
KPNA2	27524	23322	15640	32929	18178	2582	2887	2892	2432	1560
KPNA3	4975	3938	2804	5763	3816	4553	4572	5011	3835	3021
KPNA4	8635	6723	4736	9963	6198	6655	6804	7144	5647	4242
KPNA5	336	291	217	380	320	1410	1347	1525	1113	885
KPNA6	8733	7669	4961	10161	6616	7274	7791	7613	6489	4451
KPNA7	35	23	9	36	18	1	1	0	0	0
KPNB1	35979	29621	20734	40711	25021	9528	9893	10275	8454	5816
KPRP	0	0	0	0	0	3	1	0	1	4
KPTN	636	690	483	859	531	796	850	841	648	420
KRAS	6040	4683	3346	6666	4168	5514	5420	6000	4601	3257
KRBA1	692	927	593	965	997	1127	1275	1181	1028	746
KRBA2	292	248	154	299	129	356	386	390	308	129
KRBOX1	263	203	144	333	165	83	81	72	68	44
KRCC1	1483	1242	905	1820	1073	1044	1070	1066	930	689
KREMEN1	1792	1926	1252	2171	1606	2108	2369	2176	1811	1189
