GeneID,log2FC,P.Value,adj.P.Value
ENSG00000232023,6.353003754,0.008984856,0.134910823
ENSG00000203995,6.34332714,3.60E-05,0.011031119
ENSG00000237300,6.341937717,0.019482283,0.174376475
ENSG00000229120,6.325476614,0.0159745,0.16437959
ENSG00000224045,6.321918022,0.011905806,0.148565883
ENSG00000173702,6.320720378,0.000887915,0.049360097
ENSG00000280081,6.318078954,0.012014813,0.149248707
ENSG00000260781,6.309375686,0.006625799,0.120535557
ENSG00000198028,6.308759795,0.003132288,0.08924497
ENSG00000198033,6.303030797,0.006188317,0.117664591
ENSG00000109132,6.297696715,0.015590896,0.162729665
ENSG00000188101,6.289455894,0.003911423,0.097843754
ENSG00000213420,6.287926815,0.000164205,0.021486719
ENSG00000176887,6.286797031,0.00583199,0.115803108
ENSG00000251869,6.282571959,0.015108938,0.161116965
ENSG00000233124,6.281494252,0.015070389,0.161116965
ENSG00000259518,6.281349866,0.001310773,0.05974338
ENSG00000166342,6.279985914,8.99E-05,0.016816931
ENSG00000056291,6.267198579,0.002558052,0.081947731
ENSG00000146166,6.262572862,3.58E-08,0.000852698
ENSG00000200047,6.260236444,0.019970519,0.175998381
ENSG00000197061,6.259087613,0.000668345,0.042239822
ENSG00000160886,6.257912046,0.001139577,0.055566955
ENSG00000258986,6.253147067,0.004942269,0.108639646
ENSG00000225900,6.251548578,0.007886549,0.128989227
ENSG00000240922,6.245430167,0.007777006,0.128377909
ENSG00000236549,6.245350566,0.002739941,0.084079071
ENSG00000125207,6.245092666,0.002356749,0.079146719
ENSG00000168630,6.231943161,0.020143222,0.176296833
ENSG00000201470,6.231943161,0.020143222,0.176296833
ENSG00000223179,6.231943161,0.020143222,0.176296833
ENSG00000252030,6.231943161,0.020143222,0.176296833
ENSG00000252906,6.231943161,0.020143222,0.176296833
ENSG00000255386,6.231943161,0.020143222,0.176296833
ENSG00000110427,6.230647319,0.000563823,0.039448515
ENSG00000231924,6.229995099,0.01585209,0.163922368
ENSG00000265060,6.222338046,0.009333524,0.136850719
ENSG00000023839,6.218266388,0.000596398,0.040436852
ENSG00000189186,6.217217033,0.004165655,0.100584579
ENSG00000221439,6.21567324,0.009169088,0.136232236
ENSG00000149651,6.213842329,0.007111065,0.124579285
ENSG00000224347,6.211103371,0.006334876,0.118515363
ENSG00000256188,6.209414166,0.0021344,0.076252175
ENSG00000242256,6.203085008,0.020321341,0.17707761
ENSG00000214929,6.193340395,0.011868532,0.148314959
ENSG00000212402,6.191494102,0.002920206,0.086537407
ENSG00000238741,6.18594045,0.004429536,0.103212179
ENSG00000259073,6.184907269,0.009545807,0.137481133
ENSG00000215367,6.184356507,0.005676387,0.114325206
ENSG00000147689,6.183274475,2.13E-05,0.008676022
ENSG00000180332,6.182566065,0.001504527,0.063903323
ENSG00000202184,6.181018668,0.016689885,0.166471545
ENSG00000181211,6.179512657,0.016693612,0.166476458
ENSG00000229205,6.178852089,0.008175815,0.130131
ENSG00000110148,6.176500659,0.001728696,0.068248146
ENSG00000229794,6.176011092,0.008837524,0.134267766
ENSG00000258980,6.173638997,0.020505171,0.177881464
ENSG00000229105,6.17072051,0.016717235,0.166489433
ENSG00000179674,6.168360552,0.001734493,0.068299062
ENSG00000182347,6.156645919,0.008521303,0.132730867
ENSG00000226709,6.151900109,0.011462227,0.146382997
ENSG00000189099,6.148546443,0.005865387,0.115930213
ENSG00000268916,6.145694176,0.006000079,0.116517891
ENSG00000257636,6.145466772,0.012326116,0.150730288
ENSG00000241560,6.142045173,0.002796631,0.0848275
ENSG00000228976,6.139081585,0.005477157,0.112246022
ENSG00000264186,6.134934278,0.006078743,0.117024753
ENSG00000268089,6.132212609,0.003998051,0.098475937
ENSG00000268238,6.131233906,0.013737692,0.157075625
ENSG00000252707,6.126852156,0.015096833,0.161116965
ENSG00000256721,6.125083841,0.015838286,0.163922368
ENSG00000257666,6.121236095,0.014637721,0.159753876
ENSG00000233377,6.120486223,0.00170563,0.067914158
ENSG00000063015,6.116714036,0.003723747,0.096620932
ENSG00000226652,6.112922912,0.00043748,0.035000152
ENSG00000200974,6.112884168,0.020891248,0.178343072
ENSG00000087128,6.112086101,0.000854622,0.048521984
ENSG00000261274,6.111650336,0.01336938,0.155450596
ENSG00000239513,6.097570135,0.004391577,0.102792465
ENSG00000095596,6.093839226,0.001638063,0.06644547
ENSG00000232282,6.093764673,0.008329126,0.13162513
ENSG00000256797,6.09277138,0.001557311,0.064981858
ENSG00000226702,6.08755957,0.004560356,0.104478804
ENSG00000206192,6.085645513,0.005171917,0.11013409
ENSG00000141837,6.083847003,0.001342934,0.060463706
ENSG00000202016,6.081521716,0.021094206,0.178898766
ENSG00000054356,6.079273571,0.002257253,0.077853628
ENSG00000261780,6.078142394,0.006717698,0.121408855
ENSG00000265727,6.076861862,0.00371216,0.096596928
ENSG00000074211,6.076223958,0.000742972,0.044884425
ENSG00000261514,6.075721778,0.014057389,0.158382963
ENSG00000237515,6.073511425,0.010235188,0.141143381
ENSG00000204949,6.070338472,0.000205704,0.024014193
ENSG00000111700,6.068719921,0.001999657,0.073530971
ENSG00000231776,6.063465705,0.013210256,0.154858282
ENSG00000264217,6.06233699,0.011893427,0.148503333
ENSG00000251552,6.062177502,0.016128864,0.164811976
ENSG00000272469,6.061851612,0.017222843,0.168690252
ENSG00000124657,6.059865133,0.000241061,0.025759925
ENSG00000175868,6.045445467,0.001448401,0.062351336
ENSG00000136110,6.041221523,0.032504786,0.205153601
ENSG00000215184,6.036057001,0.007493761,0.126780359
ENSG00000171951,6.029861908,0.004182958,0.100584579
ENSG00000188833,6.027397092,5.37E-05,0.013155872
ENSG00000151033,6.027119786,0.021110914,0.178963537
ENSG00000226658,6.02702393,0.008651892,0.133673799
ENSG00000222445,6.024851539,0.017463119,0.169354525
ENSG00000106031,6.022392589,0.01423879,0.158747413
ENSG00000101210,6.021610917,0.000412912,0.034148638
ENSG00000244485,6.017228275,0.000771054,0.045721232
ENSG00000159184,6.016981863,0.006049096,0.116799576
ENSG00000199405,6.016679083,0.021521967,0.180292679
ENSG00000212264,6.016679083,0.021521967,0.180292679
ENSG00000240198,6.016679083,0.021521967,0.180292679
ENSG00000258212,6.016679083,0.021521967,0.180292679
ENSG00000099617,6.007057756,0.002250659,0.077853628
ENSG00000250366,6.005721046,0.005161253,0.11013409
ENSG00000165643,6.000488857,0.007114344,0.124579285
ENSG00000240474,5.999441022,0.010502528,0.142108363
ENSG00000069482,5.998706385,0.003882319,0.097796189
ENSG00000240012,5.996117468,0.017553792,0.169628693
ENSG00000249407,5.995916691,0.011905256,0.148565883
ENSG00000266736,5.99583798,0.014387745,0.159134663
ENSG00000124196,5.993511212,0.003925882,0.097861917
ENSG00000107807,5.987911353,0.006167944,0.117609
ENSG00000184486,5.987597274,0.00065349,0.042066262
ENSG00000005073,5.987265435,0.00307188,0.088596574
ENSG00000241230,5.98313371,0.021747679,0.180980304
ENSG00000122872,5.977183027,0.005628227,0.114007247
ENSG00000126231,5.975954647,0.00156392,0.065145005
ENSG00000208308,5.97421502,0.006081443,0.117024753
ENSG00000223525,5.97239341,0.002955452,0.087197379
ENSG00000207392,5.967947534,0.007865655,0.128965378
ENSG00000206262,5.967794006,0.001934897,0.07226413
ENSG00000159409,5.965374342,0.007567349,0.127067145
ENSG00000169469,5.96475554,0.007013077,0.12366093
